"","X","congress","icpsrLegis"
"1",1,103,14307
"2",2,103,1366
"3",3,103,14108
"4",4,103,11043
"5",5,103,14509
"6",6,103,11204
"7",7,103,14107
"8",8,103,14508
"9",9,103,14203
"10",10,103,660
"11",11,103,14508
"12",12,103,10818
"13",13,103,14304
"14",14,103,14101
"15",15,103,10808
"16",16,103,14302
"17",17,103,14300
"18",18,103,14922
"19",19,103,10791
"20",20,103,15700
"21",21,103,4812
"22",22,103,10808
"23",23,104,14506
"24",24,104,11203
"25",25,104,9369
"26",26,104,14900
"27",27,104,14103
"28",28,104,14268
"29",29,104,14907
"30",30,104,14500
"31",31,104,12107
"32",32,104,11044
"33",33,104,14105
"34",34,104,11044
"35",35,104,12109
"36",36,104,14503
"37",37,104,14708
"38",38,104,12109
"39",39,104,15501
"40",40,104,14710
"41",41,104,14010
"42",42,104,14910
"43",43,104,14921
"44",44,104,15039
"45",45,104,11203
"46",46,105,14506
"47",47,105,12109
"48",48,105,9369
"49",49,105,14900
"50",50,105,14103
"51",51,105,15039
"52",52,105,14907
"53",53,105,14500
"54",54,105,11044
"55",55,105,14105
"56",56,105,49503
"57",57,105,14503
"58",58,105,14240
"59",59,105,14712
"60",60,105,15501
"61",61,105,14910
"62",62,105,14226
"63",63,105,94659
"64",64,105,15116
"65",65,105,15407
"66",66,106,14506
"67",67,106,12109
"68",68,106,14712
"69",69,106,14628
"70",70,106,14103
"71",71,106,15039
"72",72,106,14907
"73",73,106,14500
"74",74,106,15116
"75",75,106,11044
"76",76,106,14105
"77",77,106,49503
"78",78,106,14503
"79",79,106,14240
"80",80,106,14921
"81",81,106,15501
"82",82,106,14226
"83",83,106,94659
"84",84,106,15116
"85",85,106,14852
"86",86,106,15407
"87",87,107,14230
"88",88,107,1366
"89",89,107,14709
"90",90,107,13039
"91",91,107,15502
"92",92,107,11204
"93",93,107,14912
"94",94,107,15054
"95",95,107,14240
"96",96,107,14203
"97",97,107,14101
"98",98,107,15704
"99",99,107,14307
"100",100,107,10808
"101",101,107,14213
"102",102,107,14920
"103",103,107,14922
"104",104,107,15503
"105",105,107,15054
"106",106,107,4812
"107",107,108,14009
"108",108,108,12109
"109",109,108,14712
"110",110,108,94659
"111",111,108,14908
"112",112,108,15039
"113",113,108,14103
"114",114,108,15424
"115",115,108,14226
"116",116,108,14506
"117",117,108,49703
"118",118,108,14503
"119",119,108,14826
"120",120,108,14031
"121",121,108,14661
"122",122,108,14910
"123",123,108,14809
"124",124,108,14852
"125",125,108,49903
"126",126,108,15407
"127",127,108,49307
"128",128,109,29512
"129",129,109,14009
"130",130,109,14712
"131",131,109,94659
"132",132,109,14826
"133",133,109,12109
"134",134,109,14103
"135",135,109,15424
"136",136,109,14226
"137",137,109,14506
"138",138,109,49703
"139",139,109,14910
"140",140,109,49706
"141",141,109,14031
"142",142,109,14661
"143",143,109,14809
"144",144,109,49705
"145",145,109,14852
"146",146,109,49903
"147",147,109,15039
"148",148,110,14230
"149",149,110,1366
"150",150,110,14709
"151",151,110,14213
"152",152,110,15502
"153",153,110,4812
"154",154,110,14912
"155",155,110,15011
"156",156,110,14203
"157",157,110,14101
"158",158,110,15704
"159",159,110,14307
"160",160,110,10808
"161",161,110,14213
"162",162,110,14920
"163",163,110,14400
"164",164,110,15703
"165",165,110,14922
"166",166,110,15425
"167",167,110,15011
"168",168,110,14812
"169",169,110,14858
"170",170,111,14230
"171",171,111,29305
"172",172,111,4812
"173",173,111,14709
"174",174,111,14213
"175",175,111,15502
"176",176,111,14922
"177",177,111,14912
"178",178,111,15011
"179",179,111,14203
"180",180,111,14920
"181",181,111,15704
"182",182,111,14307
"183",183,111,10808
"184",184,111,14230
"185",185,111,14858
"186",186,111,49702
"187",187,111,14400
"188",188,111,15703
"189",189,111,49300
"190",190,111,15011
"191",191,111,14812
"192",192,111,14858
"193",193,111,14203
"194",194,112,29732
"195",195,112,4812
"196",196,112,14709
"197",197,112,15425
"198",198,112,15502
"199",199,112,14922
"200",200,112,14912
"201",201,112,15011
"202",202,112,14203
"203",203,112,14920
"204",204,112,15704
"205",205,112,14307
"206",206,112,14230
"207",207,112,14858
"208",208,112,49702
"209",209,112,49308
"210",210,112,15703
"211",211,112,49300
"212",212,112,15011
"213",213,112,14400
"214",214,112,14858
"215",215,112,40703
"216",1,103,14307
"217",2,103,1366
"218",3,103,14108
"219",4,103,11043
"220",5,103,14509
"221",6,103,11204
"222",7,103,14107
"223",8,103,14508
"224",9,103,14203
"225",10,103,660
"226",11,103,14508
"227",12,103,10818
"228",13,103,14304
"229",14,103,14101
"230",15,103,10808
"231",16,103,14302
"232",17,103,14300
"233",18,103,14922
"234",19,103,10791
"235",20,103,15700
"236",21,103,4812
"237",22,103,10808
"238",23,104,14506
"239",24,104,11203
"240",25,104,9369
"241",26,104,14900
"242",27,104,14103
"243",28,104,14268
"244",29,104,14907
"245",30,104,14500
"246",31,104,12107
"247",32,104,11044
"248",33,104,14105
"249",34,104,11044
"250",35,104,12109
"251",36,104,14503
"252",37,104,14708
"253",38,104,12109
"254",39,104,15501
"255",40,104,14710
"256",41,104,14010
"257",42,104,14910
"258",43,104,14921
"259",44,104,15039
"260",45,104,11203
"261",46,105,14506
"262",47,105,12109
"263",48,105,9369
"264",49,105,14900
"265",50,105,14103
"266",51,105,15039
"267",52,105,14907
"268",53,105,14500
"269",54,105,11044
"270",55,105,14105
"271",56,105,49503
"272",57,105,14503
"273",58,105,14240
"274",59,105,14712
"275",60,105,15501
"276",61,105,14910
"277",62,105,14226
"278",63,105,94659
"279",64,105,15116
"280",65,105,15407
"281",66,106,14506
"282",67,106,12109
"283",68,106,14712
"284",69,106,14628
"285",70,106,14103
"286",71,106,15039
"287",72,106,14907
"288",73,106,14500
"289",74,106,15116
"290",75,106,11044
"291",76,106,14105
"292",77,106,49503
"293",78,106,14503
"294",79,106,14240
"295",80,106,14921
"296",81,106,15501
"297",82,106,14226
"298",83,106,94659
"299",84,106,15116
"300",85,106,14852
"301",86,106,15407
"302",87,107,14230
"303",88,107,1366
"304",89,107,14709
"305",90,107,13039
"306",91,107,15502
"307",92,107,11204
"308",93,107,14912
"309",94,107,15054
"310",95,107,14240
"311",96,107,14203
"312",97,107,14101
"313",98,107,15704
"314",99,107,14307
"315",100,107,10808
"316",101,107,14213
"317",102,107,14920
"318",103,107,14922
"319",104,107,15503
"320",105,107,15054
"321",106,107,4812
"322",107,108,14009
"323",108,108,12109
"324",109,108,14712
"325",110,108,94659
"326",111,108,14908
"327",112,108,15039
"328",113,108,14103
"329",114,108,15424
"330",115,108,14226
"331",116,108,14506
"332",117,108,49703
"333",118,108,14503
"334",119,108,14826
"335",120,108,14031
"336",121,108,14661
"337",122,108,14910
"338",123,108,14809
"339",124,108,14852
"340",125,108,49903
"341",126,108,15407
"342",127,108,49307
"343",128,109,29512
"344",129,109,14009
"345",130,109,14712
"346",131,109,94659
"347",132,109,14826
"348",133,109,12109
"349",134,109,14103
"350",135,109,15424
"351",136,109,14226
"352",137,109,14506
"353",138,109,49703
"354",139,109,14910
"355",140,109,49706
"356",141,109,14031
"357",142,109,14661
"358",143,109,14809
"359",144,109,49705
"360",145,109,14852
"361",146,109,49903
"362",147,109,15039
"363",148,110,14230
"364",149,110,1366
"365",150,110,14709
"366",151,110,14213
"367",152,110,15502
"368",153,110,4812
"369",154,110,14912
"370",155,110,15011
"371",156,110,14203
"372",157,110,14101
"373",158,110,15704
"374",159,110,14307
"375",160,110,10808
"376",161,110,14213
"377",162,110,14920
"378",163,110,14400
"379",164,110,15703
"380",165,110,14922
"381",166,110,15425
"382",167,110,15011
"383",168,110,14812
"384",169,110,14858
"385",170,111,14230
"386",171,111,29305
"387",172,111,4812
"388",173,111,14709
"389",174,111,14213
"390",175,111,15502
"391",176,111,14922
"392",177,111,14912
"393",178,111,15011
"394",179,111,14203
"395",180,111,14920
"396",181,111,15704
"397",182,111,14307
"398",183,111,10808
"399",184,111,14230
"400",185,111,14858
"401",186,111,49702
"402",187,111,14400
"403",188,111,15703
"404",189,111,49300
"405",190,111,15011
"406",191,111,14812
"407",192,111,14858
"408",193,111,14203
"409",194,112,29732
"410",195,112,4812
"411",196,112,14709
"412",197,112,15425
"413",198,112,15502
"414",199,112,14922
"415",200,112,14912
"416",201,112,15011
"417",202,112,14203
"418",203,112,14920
"419",204,112,15704
"420",205,112,14307
"421",206,112,14230
"422",207,112,14858
"423",208,112,49702
"424",209,112,49308
"425",210,112,15703
"426",211,112,49300
"427",212,112,15011
"428",213,112,14400
"429",214,112,14858
"430",215,112,40703
