mc,icpsrLegis,seniority,congress
ROBB (D VA),15705,5,106
AKAKA (D HI),14400,5,106
CRAIG (R ID),14809,4,106
SMITH (R NH),15116,5,106
WELLSTONE (D MN),49101,4,106
DORGAN (D ND),14812,4,106
FEINSTEIN (D CA),49300,4,106
GREGG (R NH),14826,3,106
BOXER (D CA),15011,3,106
COVERDELL (R GA),49301,3,106
HUTCHISON (R TX),49306,3,106
BENNETT (R UT),49307,3,106
MURRAY (D WA),49308,3,106
FEINGOLD (D WI),49309,3,106
CAMPBELL (R CO),95407,3,106
INHOFE (R OK),15424,3,106
THOMPSON (R TN),49503,3,106
SNOWE (R ME),14661,2,106
DEWINE (R OH),15020,2,106
KYL (R AZ),15429,2,106
THOMAS (R WY),15633,2,106
SANTORUM (R PA),29141,2,106
GRAMS (R MN),29367,2,106
ABRAHAM (R MI),49500,2,106
ASHCROFT (R MO),49501,2,106
FRIST (R TN),49502,2,106
WYDEN (D OR),14871,2,106
BROWNBACK (R KS),29523,2,106
ROBERTS (R KS),14852,1,106
DURBIN (D IL),15021,1,106
TORRICELLI (D NJ),15071,1,106
JOHNSON (D SD),15425,1,106
ALLARD (R CO),29108,1,106
REED (D RI),29142,1,106
HUTCHINSON (R AR),29306,1,106
SESSIONS (R AL),49700,1,106
CLELAND (D GA),49701,1,106
LANDRIEU (D LA),49702,1,106
COLLINS (R ME),49703,1,106
HAGEL (R NE),49704,1,106
SMITH (R OR),49705,1,106
ENZI (R WY),49706,1,106
SCHUMER (D NY),14858,0,106
BUNNING (R KY),15406,0,106
LINCOLN (D AR),29305,0,106
CRAPO (R ID),29345,0,106
FITZGERALD (R IL),49900,0,106
BAYH (D IN),49901,0,106
EDWARDS (D NC),49902,0,106
VOINOVICH (R OH),49903,0,106
CHAFEE (R RI) 49905,49905,0,106
CHAFEE (R RI),49905,0,106
MILLER (D GA),49904,0,106
THURMOND (R SC),9369,22,105
BYRD (D WV),1366,19,105
KENNEDY (D MA),10808,18,105
INOUYE (D HI),4812,17,105
HOLLINGS (D SC),11204,16,105
STEVENS (R AK),12109,15,105
ROTH (R DE),11044,13,105
BIDEN (D DE),14101,12,105
DOMENICI (R NM),14103,12,105
HELMS (R NC),14105,12,105
FORD (D KY),14302,12,105
GLENN (D OH),14304,12,105
BUMPERS (D AR),14300,11,105
LEAHY (D VT),14307,11,105
CHAFEE (R RI),14500,11,105
SARBANES (D MD),13039,10,105
HATCH (R UT),14503,10,105
LUGAR (R IN),14506,10,105
MOYNIHAN (D NY),14508,10,105
COCHRAN (R MS),14009,10,105
BAUCUS (D MT),14203,10,105
LEVIN (D MI),14709,9,105
WARNER (R VA),14712,9,105
DODD (D CT),14213,8,105
GRASSLEY (R IA),14226,8,105
D'AMATO (R NY),14900,8,105
GORTON (R WA),14904,4,105
MURKOWSKI (R AK),14907,8,105
NICKLES (R OK),14908,8,105
SPECTER (R PA),14910,8,105
LAUTENBERG (D NJ),14914,8,105
BINGAMAN (D NM),14912,7,105
HARKIN (D IA),14230,6,105
GRAMM (R TX),14628,6,105
KERRY (D MA),14920,6,105
MCCONNELL (R KY),14921,6,105
ROCKEFELLER (D WV),14922,6,105
BREAUX (D LA),13056,5,105
MIKULSKI (D MD),14440,5,105
DASCHLE (D SD),14617,5,105
MCCAIN (R AZ),15039,5,105
REID (D NV),15054,5,105
BOND (R MO),15501,5,105
CONRAD (D ND),15502,5,105
GRAHAM (D FL),15503,5,105
SHELBY (R AL),94659,5,105
LOTT (R MS),14031,4,105
JEFFORDS (R VT),14240,4,105
COATS (R IN),14806,4,105
MACK (R FL),15037,4,105
BRYAN (D NV),15700,4,105
BURNS (R MT),15701,4,105
KERREY (D NE),15702,4,105
KOHL (D WI),15703,4,105
LIEBERMAN (D CT),15704,4,105
ROBB (D VA),15705,4,105
AKAKA (D HI),14400,4,105
CRAIG (R ID),14809,3,105
SMITH (R NH),15116,4,105
WELLSTONE (D MN),49101,3,105
DORGAN (D ND),14812,3,105
FEINSTEIN (D CA),49300,3,105
GREGG (R NH),14826,2,105
BOXER (D CA),15011,2,105
COVERDELL (R GA),49301,2,105
KEMPTHORNE (R ID),49302,2,105
MOSELEY-BRA (D IL),49303,2,105
FAIRCLOTH (R NC),49304,2,105
HUTCHISON (R TX),49306,2,105
BENNETT (R UT),49307,2,105
MURRAY (D WA),49308,2,105
FEINGOLD (D WI),49309,2,105
CAMPBELL (R CO),95407,2,105
INHOFE (R OK),15424,2,105
THOMPSON (R TN),49503,2,105
SNOWE (R ME),14661,1,105
DEWINE (R OH),15020,1,105
KYL (R AZ),15429,1,105
THOMAS (R WY),15633,1,105
SANTORUM (R PA),29141,1,105
GRAMS (R MN),29367,1,105
ABRAHAM (R MI),49500,1,105
ASHCROFT (R MO),49501,1,105
FRIST (R TN),49502,1,105
WYDEN (D OR),14871,1,105
BROWNBACK (R KS),29523,1,105
ROBERTS (R KS),14852,0,105
DURBIN (D IL),15021,0,105
TORRICELLI (D NJ),15071,0,105
JOHNSON (D SD),15425,0,105
ALLARD (R CO),29108,0,105
REED (D RI),29142,0,105
HUTCHINSON (R AR),29306,0,105
SESSIONS (R AL),49700,0,105
CLELAND (D GA),49701,0,105
LANDRIEU (D LA),49702,0,105
COLLINS (R ME),49703,0,105
HAGEL (R NE),49704,0,105
SMITH (R OR),49705,0,105
ENZI (R WY),49706,0,105
BYRD (D WV),1366,18,104
INOUYE (D HI),4812,16,104
THURMOND (R SC),9369,21,104
DOLE (R KS),10513,13,104
PRYOR (D AR),10791,8,104
KENNEDY (D MA),10808,17,104
PELL (D RI),10818,17,104
ROTH (R DE),11044,12,104
HATFIELD (R OR),11203,14,104
HOLLINGS (D SC),11204,15,104
PACKWOOD (R OR),12107,13,104
STEVENS (R AK),12109,14,104
SARBANES (D MD),13039,9,104
BREAUX (D LA),13056,3,104
COCHRAN (R MS),14009,9,104
COHEN (R ME),14010,8,104
LOTT (R MS),14031,3,104
BIDEN (D DE),14101,11,104
DOMENICI (R NM),14103,11,104
HELMS (R NC),14105,11,104
JOHNSTON (D LA),14107,12,104
NUNN (D GA),14108,11,104
BAUCUS (D MT),14203,9,104
DODD (D CT),14213,7,104
GRASSLEY (R IA),14226,7,104
HARKIN (D IA),14230,5,104
JEFFORDS (R VT),14240,3,104
PRESSLER (R SD),14268,8,104
SIMON (D IL),14275,5,104
BUMPERS (D AR),14300,10,104
FORD (D KY),14302,11,104
GLENN (D OH),14304,11,104
LEAHY (D VT),14307,10,104
AKAKA (D HI),14400,3,104
MIKULSKI (D MD),14440,4,104
CHAFEE (R RI),14500,10,104
HATCH (R UT),14503,9,104
LUGAR (R IN),14506,9,104
MOYNIHAN (D NY),14508,9,104
DASCHLE (D SD),14617,4,104
GRAMM (R TX),14628,5,104
SNOWE (R ME),14661,0,104
BRADLEY (D NJ),14702,8,104
EXON (D NE),14704,8,104
HEFLIN (D AL),14705,8,104
KASSEBAUM (R KS),14708,8,104
LEVIN (D MI),14709,8,104
SIMPSON (R WY),14710,8,104
WARNER (R VA),14712,8,104
BROWN (R CO),14803,2,104
COATS (R IN),14806,3,104
CRAIG (R ID),14809,2,104
DORGAN (D ND),14812,2,104
GREGG (R NH),14826,1,104
WYDEN (D OR),14871,0,104
D'AMATO (R NY),14900,7,104
GORTON (R WA),14904,3,104
MURKOWSKI (R AK),14907,7,104
NICKLES (R OK),14908,7,104
SPECTER (R PA),14910,7,104
BINGAMAN (D NM),14912,6,104
LAUTENBERG (D NJ),14914,7,104
KERRY (D MA),14920,5,104
MCCONNELL (R KY),14921,5,104
ROCKEFELLER (D WV),14922,5,104
BOXER (D CA),15011,1,104
DEWINE (R OH),15020,0,104
MACK (R FL),15037,3,104
MCCAIN (R AZ),15039,4,104
REID (D NV),15054,4,104
SMITH (R NH),15116,2,104
CAMPBELL (D CO),15407,1,104
INHOFE (R OK),15424,1,104
KYL (R AZ),15429,0,104
BOND (R MO),15501,4,104
CONRAD (D ND),15502,4,104
GRAHAM (D FL),15503,4,104
THOMAS (R WY),15633,0,104
BRYAN (D NV),15700,3,104
BURNS (R MT),15701,3,104
KERREY (D NE),15702,3,104
KOHL (D WI),15703,3,104
LIEBERMAN (D CT),15704,3,104
ROBB (D VA),15705,3,104
SANTORUM (R PA),29141,0,104
GRAMS (R MN),29367,0,104
WELLSTONE (D MN),49101,2,104
FEINSTEIN (D CA),49300,2,104
COVERDELL (R GA),49301,1,104
KEMPTHORNE (R ID),49302,1,104
MOSELEY-BRA (D IL),49303,1,104
FAIRCLOTH (R NC),49304,1,104
HUTCHISON (R TX),49306,1,104
BENNETT (R UT),49307,1,104
MURRAY (D WA),49308,1,104
FEINGOLD (D WI),49309,1,104
ABRAHAM (R MI),49500,0,104
ASHCROFT (R MO),49501,0,104
FRIST (R TN),49502,0,104
THOMPSON (R TN),49503,1,104
FRAHM (R KS),49504,0,104
SHELBY (R AL),94659,4,104
CAMPBELL (R CO),95407,1,104
THURMOND (R SC),9369,20,103
BYRD (D WV),1366,17,103
PELL (D RI),10818,16,103
KENNEDY (D MA),10808,16,103
INOUYE (D HI),4812,15,103
HOLLINGS (D SC),11204,14,103
HATFIELD (R OR),11203,13,103
STEVENS (R AK),12109,13,103
DOLE (R KS),10513,12,103
PACKWOOD (R OR),12107,12,103
ROTH (R DE),11044,11,103
JOHNSTON (D LA),14107,11,103
BIDEN (D DE),14101,10,103
DOMENICI (R NM),14103,10,103
HELMS (R NC),14105,10,103
NUNN (D GA),14108,10,103
METZENBAUM (D OH),14073,9,103
FORD (D KY),14302,10,103
GLENN (D OH),14304,10,103
BUMPERS (D AR),14300,9,103
LEAHY (D VT),14307,9,103
CHAFEE (R RI),14500,9,103
RIEGLE (D MI),11043,8,103
SARBANES (D MD),13039,8,103
DANFORTH (R MO),14501,8,103
DECONCINI (D AZ),14502,8,103
HATCH (R UT),14503,8,103
LUGAR (R IN),14506,8,103
MOYNIHAN (D NY),14508,8,103
SASSER (D TN),14509,8,103
WALLOP (R WY),14511,8,103
COCHRAN (R MS),14009,8,103
BAUCUS (D MT),14203,8,103
DURENBERGER (R MN),14703,8,103
PRYOR (D AR),10791,7,103
COHEN (R ME),14010,7,103
PRESSLER (R SD),14268,7,103
BOREN (D OK),14700,7,103
BRADLEY (D NJ),14702,7,103
EXON (D NE),14704,7,103
HEFLIN (D AL),14705,7,103
KASSEBAUM (R KS),14708,7,103
LEVIN (D MI),14709,7,103
SIMPSON (R WY),14710,7,103
WARNER (R VA),14712,7,103
MITCHELL (D ME),14713,7,103
DODD (D CT),14213,6,103
GRASSLEY (R IA),14226,6,103
D'AMATO (R NY),14900,6,103
GORTON (R WA),14904,2,103
MURKOWSKI (R AK),14907,6,103
NICKLES (R OK),14908,6,103
SPECTER (R PA),14910,6,103
LAUTENBERG (D NJ),14914,6,103
BINGAMAN (D NM),14912,5,103
HARKIN (D IA),14230,4,103
SIMON (D IL),14275,4,103
GRAMM (R TX),14628,4,103
KERRY (D MA),14920,4,103
MCCONNELL (R KY),14921,4,103
ROCKEFELLER (D WV),14922,4,103
BREAUX (D LA),13056,3,103
MIKULSKI (D MD),14440,3,103
DASCHLE (D SD),14617,3,103
SHELBY (D AL),14659,3,103
MCCAIN (R AZ),15039,3,103
REID (D NV),15054,3,103
BOND (R MO),15501,3,103
CONRAD (D ND),15502,3,103
GRAHAM (D FL),15503,3,103
LOTT (R MS),14031,2,103
JEFFORDS (R VT),14240,2,103
COATS (R IN),14806,2,103
MACK (R FL),15037,2,103
BRYAN (D NV),15700,2,103
BURNS (R MT),15701,2,103
KERREY (D NE),15702,2,103
KOHL (D WI),15703,2,103
LIEBERMAN (D CT),15704,2,103
ROBB (D VA),15705,2,103
AKAKA (D HI),14400,2,103
BROWN (R CO),14803,1,103
CRAIG (R ID),14809,1,103
SMITH (R NH),15116,2,103
WELLSTONE (D MN),49101,1,103
WOFFORD (D PA),49104,1,103
DORGAN (D ND),14812,1,103
FEINSTEIN (D CA),49300,1,103
KRUEGER (D TX),14247,0,103
GREGG (R NH),14826,0,103
BOXER (D CA),15011,0,103
CAMPBELL (D CO),15407,0,103
COVERDELL (R GA),49301,0,103
KEMPTHORNE (R ID),49302,0,103
MOSELEY-BRA (D IL),49303,0,103
FAIRCLOTH (R NC),49304,0,103
MATHEWS (D TN),49305,0,103
HUTCHISON (R TX),49306,0,103
BENNETT (R UT),49307,0,103
MURRAY (D WA),49308,0,103
FEINGOLD (D WI),49309,0,103
INHOFE (R OK),15424,0,103
HEFLIN (D AL),14705,6,102
SHELBY (D AL),14659,2,102
MURKOWSKI (R AK),14907,5,102
STEVENS (R AK),12109,12,102
DECONCINI (D AZ),14502,7,102
MCCAIN (R AZ),15039,2,102
BUMPERS (D AR),14300,8,102
PRYOR (D AR),10791,6,102
CRANSTON (D CA),12103,11,102
SEYMOUR (R CA),49100,0,102
BROWN (R CO),14803,0,102
WIRTH (D CO),14282,2,102
DODD (D CT),14213,5,102
LIEBERMAN (D CT),15704,1,102
BIDEN (D DE),14101,9,102
ROTH (R DE),11044,10,102
GRAHAM (D FL),15503,2,102
MACK (R FL),15037,1,102
FOWLER (D GA),14467,2,102
NUNN (D GA),14108,10,102
AKAKA (D HI),14400,1,102
INOUYE (D HI),4812,14,102
CRAIG (R ID),14809,0,102
SYMMS (R ID),14056,5,102
DIXON (D IL),14902,5,102
SIMON (D IL),14275,3,102
COATS (R IN),14806,1,102
LUGAR (R IN),14506,7,102
GRASSLEY (R IA),14226,5,102
HARKIN (D IA),14230,3,102
DOLE (R KS),10513,11,102
KASSEBAUM (R KS),14708,7,102
FORD (D KY),14302,9,102
MCCONNELL (R KY),14921,3,102
BREAUX (D LA),13056,2,102
JOHNSTON (D LA),14107,10,102
COHEN (R ME),14010,6,102
MITCHELL (D ME),14713,6,102
MIKULSKI (D MD),14440,2,102
SARBANES (D MD),13039,7,102
KENNEDY (D MA),10808,15,102
KERRY (D MA),14920,3,102
LEVIN (D MI),14709,6,102
RIEGLE (D MI),11043,8,102
DURENBERGER (R MN),14703,7,102
WELLSTONE (D MN),49101,0,102
COCHRAN (R MS),14009,7,102
LOTT (R MS),14031,1,102
BOND (R MO),15501,2,102
DANFORTH (R MO),14501,8,102
BAUCUS (D MT),14203,7,102
BURNS (R MT),15701,1,102
EXON (D NE),14704,6,102
KERREY (D NE),15702,1,102
BRYAN (D NV),15700,1,102
REID (D NV),15054,2,102
RUDMAN (R NH),14909,6,102
SMITH (R NH),15116,1,102
BRADLEY (D NJ),14702,6,102
LAUTENBERG (D NJ),14914,5,102
BINGAMAN (D NM),14912,4,102
DOMENICI (R NM),14103,9,102
D'AMATO (R NY),14900,5,102
MOYNIHAN (D NY),14508,7,102
HELMS (R NC),14105,9,102
SANFORD (D NC),15504,3,102
BURDICK (D ND),1252,16,102
CONRAD (D ND),15502,2,102
BURDICK2 (D ND),49103,0,102
GLENN (D OH),14304,9,102
METZENBAUM (D OH),14073,8,102
BOREN (D OK),14700,6,102
NICKLES (R OK),14908,5,102
HATFIELD (R OR),11203,12,102
PACKWOOD (R OR),12107,11,102
HEINZ (R PA),13050,7,102
WOFFORD (D PA),49104,0,102
SPECTER (R PA),14910,5,102
CHAFEE (R RI),14500,8,102
PELL (D RI),10818,15,102
HOLLINGS (D SC),11204,13,102
THURMOND (R SC),9369,19,102
DASCHLE (D SD),14617,2,102
PRESSLER (R SD),14268,6,102
GORE (D TN),14423,3,102
SASSER (D TN),14509,7,102
BENTSEN (D TX),660,10,102
GRAMM (R TX),14628,3,102
GARN (R UT),14303,9,102
HATCH (R UT),14503,7,102
JEFFORDS (R VT),14240,1,102
LEAHY (D VT),14307,8,102
ROBB (D VA),15705,1,102
WARNER (R VA),14712,6,102
ADAMS (D WA),10700,2,102
GORTON (R WA),14904,1,102
BYRD (D WV),1366,16,102
ROCKEFELLER (D WV),14922,3,102
KASTEN (R WI),14242,5,102
KOHL (D WI),15703,1,102
SIMPSON (R WY),14710,6,102
WALLOP (R WY),14511,7,102
THURMOND (R SC),9369,18,101
BYRD (D WV),1366,15,101
BURDICK (D ND),1252,14,101
PELL (D RI),10818,14,101
KENNEDY (D MA),10808,14,101
INOUYE (D HI),4812,13,101
HOLLINGS (D SC),11204,12,101
HATFIELD (R OR),11203,11,101
STEVENS (R AK),12109,11,101
DOLE (R KS),10513,10,101
CRANSTON (D CA),12103,10,101
PACKWOOD (R OR),12107,10,101
BENTSEN (D TX),660,9,101
ROTH (R DE),11044,9,101
JOHNSTON (D LA),14107,9,101
MCCLURE (R ID),11029,8,101
BIDEN (D DE),14101,8,101
DOMENICI (R NM),14103,8,101
HELMS (R NC),14105,8,101
NUNN (D GA),14108,8,101
METZENBAUM (D OH),14073,7,101
FORD (D KY),14302,8,101
GARN (R UT),14303,8,101
GLENN (D OH),14304,8,101
BUMPERS (D AR),14300,7,101
LEAHY (D VT),14307,7,101
CHAFEE (R RI),14500,7,101
MATSUNAGA (D HI),10605,6,101
RIEGLE (D MI),11043,6,101
SARBANES (D MD),13039,6,101
HEINZ (R PA),13050,6,101
DANFORTH (R MO),14501,6,101
DECONCINI (D AZ),14502,6,101
HATCH (R UT),14503,6,101
LUGAR (R IN),14506,6,101
MOYNIHAN (D NY),14508,6,101
SASSER (D TN),14509,6,101
WALLOP (R WY),14511,6,101
COCHRAN (R MS),14009,6,101
BAUCUS (D MT),14203,6,101
DURENBERGER (R MN),14703,6,101
PRYOR (D AR),10791,5,101
ARMSTRONG (R CO),14002,5,101
COHEN (R ME),14010,5,101
PRESSLER (R SD),14268,5,101
BOREN (D OK),14700,5,101
BOSCHWITZ (R MN),14701,6,101
BRADLEY (D NJ),14702,5,101
EXON (D NE),14704,5,101
HEFLIN (D AL),14705,5,101
HUMPHREY (R NH),14706,5,101
KASSEBAUM (R KS),14708,6,101
LEVIN (D MI),14709,5,101
SIMPSON (R WY),14710,5,101
WARNER (R VA),14712,5,101
MITCHELL (D ME),14713,5,101
SYMMS (R ID),14056,4,101
DODD (D CT),14213,4,101
GRASSLEY (R IA),14226,4,101
KASTEN (R WI),14242,4,101
D'AMATO (R NY),14900,4,101
DIXON (D IL),14902,4,101
GORTON (R WA),14904,0,101
MURKOWSKI (R AK),14907,4,101
NICKLES (R OK),14908,4,101
RUDMAN (R NH),14909,5,101
SPECTER (R PA),14910,4,101
LAUTENBERG (D NJ),14914,4,101
BINGAMAN (D NM),14912,3,101
WILSON (R CA),14915,3,101
HARKIN (D IA),14230,2,101
SIMON (D IL),14275,2,101
GORE (D TN),14423,2,101
GRAMM (R TX),14628,2,101
KERRY (D MA),14920,2,101
MCCONNELL (R KY),14921,2,101
ROCKEFELLER (D WV),14922,2,101
SANFORD (D NC),15504,2,101
ADAMS (D WA),10700,1,101
BREAUX (D LA),13056,1,101
WIRTH (D CO),14282,1,101
MIKULSKI (D MD),14440,1,101
FOWLER (D GA),14467,1,101
DASCHLE (D SD),14617,1,101
SHELBY (D AL),14659,1,101
MCCAIN (R AZ),15039,1,101
REID (D NV),15054,1,101
BOND (R MO),15501,1,101
CONRAD (D ND),15502,1,101
GRAHAM (D FL),15503,1,101
LOTT (R MS),14031,0,101
JEFFORDS (R VT),14240,0,101
COATS (R IN),14806,0,101
MACK (R FL),15037,0,101
BRYAN (D NV),15700,0,101
BURNS (R MT),15701,0,101
KERREY (D NE),15702,0,101
KOHL (D WI),15703,0,101
LIEBERMAN (D CT),15704,0,101
ROBB (D VA),15705,0,101
AKAKA (D HI),14400,0,101
STENNIS (D MS),8883,20,100
THURMOND (R SC),9369,17,100
PROXMIRE (D WI),7638,15,100
BYRD (D WV),1366,14,100
BURDICK (D ND),1252,13,100
PELL (D RI),10818,13,100
KENNEDY (D MA),10808,13,100
INOUYE (D HI),4812,12,100
HOLLINGS (D SC),11204,11,100
HATFIELD (R OR),11203,10,100
STEVENS (R AK),12109,10,100
DOLE (R KS),10513,9,100
CRANSTON (D CA),12103,9,100
PACKWOOD (R OR),12107,9,100
BENTSEN (D TX),660,8,100
STAFFORD (R VT),10562,8,100
ROTH (R DE),11044,8,100
WEICKER (R CT),12032,8,100
CHILES (D FL),13101,8,100
JOHNSTON (D LA),14107,8,100
MCCLURE (R ID),11029,7,100
BIDEN (D DE),14101,7,100
DOMENICI (R NM),14103,7,100
HELMS (R NC),14105,7,100
NUNN (D GA),14108,7,100
METZENBAUM (D OH),14073,6,100
FORD (D KY),14302,7,100
GARN (R UT),14303,7,100
GLENN (D OH),14304,7,100
BUMPERS (D AR),14300,6,100
LEAHY (D VT),14307,6,100
CHAFEE (R RI),14500,6,100
ZORINSKY (D NE),14512,6,100
MATSUNAGA (D HI),10605,5,100
RIEGLE (D MI),11043,5,100
MELCHER (D MT),12039,5,100
SARBANES (D MD),13039,5,100
HEINZ (R PA),13050,5,100
DANFORTH (R MO),14501,6,100
DECONCINI (D AZ),14502,5,100
HATCH (R UT),14503,5,100
LUGAR (R IN),14506,5,100
MOYNIHAN (D NY),14508,5,100
SASSER (D TN),14509,5,100
WALLOP (R WY),14511,5,100
COCHRAN (R MS),14009,5,100
BAUCUS (D MT),14203,5,100
DURENBERGER (R MN),14703,5,100
PRYOR (D AR),10791,4,100
ARMSTRONG (R CO),14002,4,100
COHEN (R ME),14010,4,100
PRESSLER (R SD),14268,4,100
BOREN (D OK),14700,4,100
BOSCHWITZ (R MN),14701,5,100
BRADLEY (D NJ),14702,4,100
EXON (D NE),14704,4,100
HEFLIN (D AL),14705,4,100
HUMPHREY (R NH),14706,4,100
KASSEBAUM (R KS),14708,5,100
LEVIN (D MI),14709,4,100
SIMPSON (R WY),14710,4,100
WARNER (R VA),14712,4,100
MITCHELL (D ME),14713,4,100
SYMMS (R ID),14056,3,100
DODD (D CT),14213,3,100
GRASSLEY (R IA),14226,3,100
KASTEN (R WI),14242,3,100
QUAYLE (R IN),14447,3,100
D'AMATO (R NY),14900,3,100
DIXON (D IL),14902,3,100
MURKOWSKI (R AK),14907,3,100
NICKLES (R OK),14908,3,100
RUDMAN (R NH),14909,3,100
SPECTER (R PA),14910,3,100
LAUTENBERG (D NJ),14914,3,100
TRIBLE (R VA),14456,2,100
BINGAMAN (D NM),14912,2,100
HECHT (R NV),14913,2,100
WILSON (R CA),14915,2,100
EVANS (R WA),14916,2,100
HARKIN (D IA),14230,1,100
SIMON (D IL),14275,1,100
GORE (D TN),14423,1,100
GRAMM (R TX),14628,1,100
KERRY (D MA),14920,1,100
MCCONNELL (R KY),14921,1,100
ROCKEFELLER (D WV),14922,1,100
SANFORD (D NC),15504,1,100
ADAMS (D WA),10700,0,100
BREAUX (D LA),13056,0,100
WIRTH (D CO),14282,0,100
MIKULSKI (D MD),14440,0,100
FOWLER (D GA),14467,0,100
DASCHLE (D SD),14617,0,100
SHELBY (D AL),14659,0,100
MCCAIN (R AZ),15039,0,100
REID (D NV),15054,0,100
BOND (R MO),15501,0,100
CONRAD (D ND),15502,0,100
GRAHAM (D FL),15503,0,100
KARNES (R NE),15505,0,100
STENNIS (D MS),8883,19,99
GOLDWATER (R AZ),3658,8,99
THURMOND (R SC),9369,16,99
PROXMIRE (D WI),7638,14,99
BYRD (D WV),1366,13,99
BURDICK (D ND),1252,12,99
PELL (D RI),10818,12,99
KENNEDY (D MA),10808,12,99
INOUYE (D HI),4812,11,99
LONG (D LA),5767,19,99
HOLLINGS (D SC),11204,10,99
